,id,Sample.ID,Sample.name,Genotype,Microbiome,condition,samples,tissue,condition_tissue
1,G661-01_1WT-ES,G661-01,1WT-ES,WT,GF,WT_GF,G661-01_1WT-ES.BAM,striatum,WT_GF_striatum
2,G661-02_2WT-ES,G661-02,2WT-ES,WT,GF,WT_GF,G661-02_2WT-ES.BAM,striatum,WT_GF_striatum
3,G661-03_3WT-ES,G661-03,3WT-ES,WT,GF,WT_GF,G661-03_3WT-ES.BAM,striatum,WT_GF_striatum
4,G661-04_4WT-ES,G661-04,4WT-ES,WT,GF,WT_GF,G661-04_4WT-ES.BAM,striatum,WT_GF_striatum
5,G661-05_5WT-ES,G661-05,5WT-ES,WT,GF,WT_GF,G661-05_5WT-ES.BAM,striatum,WT_GF_striatum
6,G661-06_10WT-ES,G661-06,10WT-ES,WT,GF,WT_GF,G661-06_10WT-ES.BAM,striatum,WT_GF_striatum
7,G661-07_11WT-ES,G661-07,11WT-ES,WT,SPF,WT_SPF,G661-07_11WT-ES.BAM,striatum,WT_SPF_striatum
8,G661-08_12WT-ES,G661-08,12WT-ES,WT,SPF,WT_SPF,G661-08_12WT-ES.BAM,striatum,WT_SPF_striatum
9,G661-09_13WT-ES,G661-09,13WT-ES,WT,SPF,WT_SPF,G661-09_13WT-ES.BAM,striatum,WT_SPF_striatum
10,G661-10_14WT-ES,G661-10,14WT-ES,WT,SPF,WT_SPF,G661-10_14WT-ES.BAM,striatum,WT_SPF_striatum
11,G661-11_15WT-ES,G661-11,15WT-ES,WT,SPF,WT_SPF,G661-11_15WT-ES.BAM,striatum,WT_SPF_striatum
12,G661-12_17WT-ES,G661-12,17WT-ES,WT,SPF,WT_SPF,G661-12_17WT-ES.BAM,striatum,WT_SPF_striatum
13,G661-13_1ASO-ES,G661-13,1ASO-ES,ASO,GF,ASO_GF,G661-13_1ASO-ES.BAM,striatum,ASO_GF_striatum
14,G661-14_2ASO-ES,G661-14,2ASO-ES,ASO,GF,ASO_GF,G661-14_2ASO-ES.BAM,striatum,ASO_GF_striatum
15,G661-15_3ASO-ES,G661-15,3ASO-ES,ASO,GF,ASO_GF,G661-15_3ASO-ES.BAM,striatum,ASO_GF_striatum
16,G661-16_5ASO-ES,G661-16,5ASO-ES,ASO,GF,ASO_GF,G661-16_5ASO-ES.BAM,striatum,ASO_GF_striatum
17,G661-17_6ASO-ES,G661-17,6ASO-ES,ASO,GF,ASO_GF,G661-17_6ASO-ES.BAM,striatum,ASO_GF_striatum
18,G661-18_7ASO-ES,G661-18,7ASO-ES,ASO,GF,ASO_GF,G661-18_7ASO-ES.BAM,striatum,ASO_GF_striatum
19,G661-19_8ASO-ES,G661-19,8ASO-ES,ASO,SPF,ASO_SPF,G661-19_8ASO-ES.BAM,striatum,ASO_SPF_striatum
20,G661-20_9ASO-ES,G661-20,9ASO-ES,ASO,SPF,ASO_SPF,G661-20_9ASO-ES.BAM,striatum,ASO_SPF_striatum
21,G661-21_10ASO-ES,G661-21,10ASO-ES,ASO,SPF,ASO_SPF,G661-21_10ASO-ES.BAM,striatum,ASO_SPF_striatum
22,G661-22_11ASO-ES,G661-22,11ASO-ES,ASO,SPF,ASO_SPF,G661-22_11ASO-ES.BAM,striatum,ASO_SPF_striatum
23,G661-23_14ASO-ES,G661-23,14ASO-ES,ASO,SPF,ASO_SPF,G661-23_14ASO-ES.BAM,striatum,ASO_SPF_striatum
24,G661-24_16ASO-ES,G661-24,16ASO-ES,ASO,SPF,ASO_SPF,G661-24_16ASO-ES.BAM,striatum,ASO_SPF_striatum
