,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF ASO,NAC ASO,-0.780269857142858,-6.93846961465288,5.37792990036717,2.00145000554935,52,-0.389852284583393,0.748112189833228
2,GF WT,GF ASO,1.34301714285714,-4.81518261465288,7.50121690036717,2.00145000554935,52,0.671022078559747,0.631470384804351
3,GF WT,NAC ASO,0.562747285714284,-5.59545247179574,6.72094704322431,2.00145000554935,52,0.281169793976354,0.779695978621651
4,GF WT,NAC WT,-1.697016125,-7.65966740086372,4.26563515086372,1.93789563493984,52,-0.875700473443029,0.525300178168683
5,GF WT,SPF ASO,-5.80136214285714,-11.13451957444,-0.468204711274296,1.73330654921024,52,-3.3469914167811,0.00761907412772183
6,NAC WT,GF ASO,3.04003326785714,-2.92261800800658,9.00268454372087,1.93789563493985,52,1.56872909616286,0.222503552285491
7,NAC WT,NAC ASO,2.25976341071429,-3.70288786514943,8.222414686578,1.93789563493984,52,1.16609138798356,0.373347089103118
8,NAC WT,SPF ASO,-4.10434601785714,-9.21045551278673,1.00176347707245,1.65951467626548,52,-2.47322068105684,0.0626056672000207
9,SPF ASO,GF ASO,7.14437928571429,1.81122185413143,12.4775367172971,1.73330654921025,52,4.1218209721584,0.00203267033098704
10,SPF ASO,NAC ASO,6.36410942857143,1.03095199698858,11.6972668601543,1.73330654921024,52,3.67165832926157,0.00426826378518303
11,SPF WT,GF ASO,3.95551247619047,-1.31805473388256,9.2290796862635,1.71393938772347,52,2.30784851816981,0.0650000050829087
12,SPF WT,GF WT,2.61249533333333,-2.6610718767397,7.88606254340636,1.71393938772347,52,1.52426354866806,0.222503552285491
13,SPF WT,NAC ASO,3.17524261904761,-2.09832459102542,8.44880982912065,1.71393938772347,52,1.85259913027911,0.149183951751476
14,SPF WT,NAC WT,0.91547920833333,-4.12835832903048,5.95931674569714,1.63927593528219,52,0.558465593637678,0.667988572958466
15,SPF WT,SPF ASO,-3.18886680952381,-7.47018145059007,1.09244783154245,1.39145164975702,52,-2.2917553837251,0.0650000050829087
