"","Accession","log2_foldchange","foldchange","AveExpr","t","p_value","adj_p_value","q_value","B","description","exp_q.value_combined","sum_pep_score","coverage_percent","num_peptides","num_psms","num_unique_peptides","num_aas","mw_kda","calc_pi","biological_process","cellular_component","molecular_function","entrez_gene_id","ensembl_gene_id","gene_symbol","reactome_pathways","wikipathways"
"1","Q640M6",1.13600874092083,2.19772175054827,19.8729834413832,-3.50990593608368,0.00249897237939918,0.246273727989789,0.203644580654066,-1.41195874314852,"Glycerophosphodiester phosphodiesterase domain-containing protein 5 OS=Mus musculus OX=10090 GN=Gdpd5 PE=1 SV=1",0,18.489,4,2,5,2,607,68.8,8,"cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes","other membranes;ER/Golgi;other cell component","other molecular function","233552","ENSMUSG00000035314","Gdpd5",NA,NA
"2","Q8VEB6",1.09040588922153,2.12933935104056,24.1932895934893,-7.22404300868643,1.01106210300919e-06,0.00398560681006222,0.00329571178424992,4.95905442908525,"Zinc phosphodiesterase ELAC protein 1 OS=Mus musculus OX=10090 GN=Elac1 PE=2 SV=1",0.017,1.896,3,1,2,1,362,39.7,6.6,"RNA metabolism OR transcription;other metabolic processes","cytosol;nucleus","other molecular function","114615","ENSMUSG00000036941","Elac1",NA,NA
"3","Q9Z2X1",-1.00293447770441,-2.00407218995846,18.4727115515938,7.02395995972402,2.0380042628212e-06,0.00401690640202058,0.00332159352296007,4.19646648767001,"Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus OX=10090 GN=Hnrnpf PE=1 SV=3",0,22.023,9,3,6,1,415,45.7,5.49,"RNA metabolism OR transcription;other metabolic processes;other biological processes","cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function","98758","ENSMUSG00000042079","Hnrnpf","mRNA Splicing - Major Pathway; FGFR2 alternative splicing; Processing of Capped Intron-Containing Pre-mRNA","mRNA processing"
"4","E9Q1Y3",-0.936045911123099,-1.91327720175206,17.2688893984717,2.8955223881164,0.0117367317422917,0.379794876034702,0.314053670669477,-2.65646880905038,"Apolipoprotein B-100 (Fragment) OS=Mus musculus OX=10090 GN=Apob PE=1 SV=1",0.009,2.036,0,1,1,1,4456,503.6,6.83,"transport",NA,"transporter activity",NA,"ENSMUSG00000020609","Apob",NA,NA
"5","Q91UZ1",-0.917140404942927,-1.88836860782754,19.5613479956408,2.99966599505268,0.00768669777879392,0.315759533472489,0.261102628796014,-2.36755471141058,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase OS=Mus musculus OX=10090 GN=Plcb4 PE=1 SV=1",0,130.893,18,13,17,13,1175,134.4,6.9,"other metabolic processes;signal transduction;other biological processes","ER/Golgi;nucleus;other cell component","other molecular function","18798","ENSMUSG00000039943","Plcb4","G alpha (q) signalling events; Synthesis of IP3 and IP4 in the cytosol; PLC beta mediated events","Splicing factor NOVA regulated synaptic proteins; Alzheimers Disease; Chemokine signaling pathway"
"6","Q8BGF8",0.908087915562898,1.87655674392868,18.5078950245223,-3.72329500048832,0.00184697295776031,0.245480948946858,0.202989028975586,-1.1769600982812,"Solute carrier family 35 member D3 OS=Mus musculus OX=10090 GN=Slc35d3 PE=2 SV=1",0,17.314,6,2,3,2,422,44.9,7.33,"transport;other biological processes","other membranes;ER/Golgi;other cytoplasmic organelle","transporter activity","76157","ENSMUSG00000050473","Slc35d3",NA,NA
"7","Q9R171",-0.870981464992319,-1.82890668199164,21.657667541167,2.78430241667946,0.0122358116174014,0.379794876034702,0.314053670669477,-2.76070749798797,"Cerebellin-1 OS=Mus musculus OX=10090 GN=Cbln1 PE=1 SV=1",0,23.12,24,5,12,3,193,21.1,7.28,"cell adhesion;cell organization and biogenesis;transport;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;other cell component","other molecular function","12404","ENSMUSG00000031654","Cbln1",NA,NA
"8","O35668",-0.850967732064923,-1.80371041375384,20.8476051451506,3.87846211933151,0.00109980451779157,0.226390797079268,0.187203317672028,-0.713462120320145,"Huntingtin-associated protein 1 OS=Mus musculus OX=10090 GN=Hap1 PE=1 SV=1",0,20.238,8,5,7,5,628,70.1,4.74,"cell organization and biogenesis;other metabolic processes;transport;developmental processes;signal transduction;other biological processes","cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;other molecular function","15114","ENSMUSG00000006930","Hap1",NA,NA
"9","Q3TYJ1",0.826438343764686,1.77330211088584,19.8750654159461,-3.70252991107241,0.00192979248521427,0.245480948946858,0.202989028975586,-1.21245999487606,"Solute carrier family 18 (Vesicular monoamine), member 3 OS=Mus musculus OX=10090 GN=Slc18a3 PE=1 SV=1",0,42.253,15,5,15,5,530,56.6,6.01,"transport","other membranes","transporter activity","20508","ENSMUSG00000100241","Slc18a3",NA,NA
"10","O55042",0.817536533401164,1.76239405477529,29.1178596687299,-4.3947840536198,0.000348952563867875,0.171946375845895,0.142183041162943,0.258516029703814,"Alpha-synuclein OS=Mus musculus OX=10090 GN=Snca PE=1 SV=2",0,204.779,82,9,279,6,140,14.5,4.77,"cell-cell signaling;cell organization and biogenesis;other metabolic processes;stress response;transport;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;translational apparatus;nucleus;other cell component","enzyme regulator activity;cytoskeletal activity;other molecular function","20617","ENSMUSG00000025889","Snca",NA,"Alzheimers Disease; Parkinsons Disease Pathway; EGFR1 Signaling Pathway"
