"","Accession","log2_foldchange","foldchange","AveExpr","t","p_value","adj_p_value","q_value","B","description","exp_q.value_combined","sum_pep_score","coverage_percent","num_peptides","num_psms","num_unique_peptides","num_aas","mw_kda","calc_pi","biological_process","cellular_component","molecular_function","entrez_gene_id","ensembl_gene_id","gene_symbol","reactome_pathways","wikipathways"
"1","Q9D819",2.20523398783113,4.61149325543934,21.7177723075722,-6.46661606465398,4.38167978492769e-06,9.8772218957438e-05,3.57113266647476e-05,4.34134627420844,"Inorganic pyrophosphatase OS=Mus musculus OX=10090 GN=Ppa1 PE=1 SV=1",0,68.165,51,11,54,11,289,32.6,5.6,"other metabolic processes","cytosol","other molecular function","67895","ENSMUSG00000020089","Ppa1","Pyrophosphate hydrolysis; Cytosolic tRNA aminoacylation","Hypothetical Network for Drug Addiction"
"2","Q9CQI6",2.18650784694526,4.55202299930338,23.9808987551431,-6.08555000804401,9.43487144834343e-06,0.000174567269379913,6.31152043317501e-05,3.57846816095775,"Coactosin-like protein OS=Mus musculus OX=10090 GN=Cotl1 PE=1 SV=3",0,42.173,51,8,72,8,142,15.9,5.4,"cell organization and biogenesis;stress response","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus","cytoskeletal activity;other molecular function","72042","ENSMUSG00000031827","Cotl1","Neutrophil degranulation",NA
"3","P49442",1.99257263993539,3.97945990342988,20.353968968563,-9.28283723000128,2.75504898238615e-08,5.170308590278e-06,1.86933715749093e-06,9.34724927200675,"Inositol polyphosphate 1-phosphatase OS=Mus musculus OX=10090 GN=Inpp1 PE=1 SV=2",0,50.289,15,5,28,5,396,43.3,5.01,"other metabolic processes",NA,"other molecular function","16329","ENSMUSG00000026102","Inpp1","Synthesis of IP2, IP, and Ins in the cytosol",NA
"4","Q9CY64",1.95872328776137,3.88717831064813,21.1954116429995,-6.57633129764089,3.52613606649801e-06,8.65410093175863e-05,3.12891042264528e-05,4.55731610448794,"Biliverdin reductase A OS=Mus musculus OX=10090 GN=Blvra PE=1 SV=1",0,50.227,22,6,41,6,295,33.5,7.02,"other metabolic processes","cytosol","other molecular function","109778","ENSMUSG00000001999","Blvra","Cytoprotection by HMOX1; Heme degradation",NA
"5","Q8BH58",1.82835659481734,3.55132303067858,21.1231771088844,-8.05837745217191,5.01844112516756e-07,2.3828525872633e-05,8.61525923340518e-06,6.58426488064554,"TIP41-like protein OS=Mus musculus OX=10090 GN=Tiprl PE=1 SV=1",0,71.152,39,7,32,7,271,31.2,5.63,"stress response;signal transduction;other biological processes","cytosol",NA,"226591","ENSMUSG00000040843","Tiprl",NA,NA
"6","Q9R111",1.82552680410555,3.54436407453837,24.9291518856106,-10.5486413851629,3.87354384198992e-09,1.90820453516029e-06,6.89915810513744e-07,11.251682875329,"Guanine deaminase OS=Mus musculus OX=10090 GN=Gda PE=1 SV=1",0,193.816,57,21,171,21,454,51,5.53,"other metabolic processes;other biological processes",NA,"other molecular function","14544","ENSMUSG00000058624","Gda","Purine catabolism","Purine metabolism"
"7","Q8C8T8",1.8178399648465,3.52552953029544,20.7690278523199,-11.9836908113433,5.11487481512758e-10,1.7427022255757e-06,6.3007806358723e-07,13.1867616953327,"Pre-rRNA-processing protein TSR2 homolog OS=Mus musculus OX=10090 GN=Tsr2 PE=1 SV=1",0,29.16,23,4,23,4,191,20.9,4.23,"RNA metabolism OR transcription;other metabolic processes",NA,NA,"69499",NA,"Tsr2",NA,NA
"8","P11404",1.75566686576175,3.37682371372582,24.9922392402957,-7.78290384080395,3.60139158364736e-07,2.08721826928739e-05,7.54638644569381e-06,6.81991393135049,"Fatty acid-binding protein, heart OS=Mus musculus OX=10090 GN=Fabp3 PE=1 SV=5",0,98.445,61,9,85,9,133,14.8,6.57,"other metabolic processes;transport;other biological processes","non-structural extracellular;cytosol;other cell component","transporter activity;cytoskeletal activity;other molecular function","14077","ENSMUSG00000028773","Fabp3","Triglyceride catabolism","PPAR signaling pathway"
"9","Q80VP0",1.75027911595463,3.36423647162903,21.6441875064172,-7.26410167789086,9.37640629537369e-07,3.55311703942959e-05,1.28463777175875e-05,5.87251088122826,"Tectonin beta-propeller repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Tecpr1 PE=1 SV=1",0,144.461,17,14,60,13,1166,130.2,6.48,"cell organization and biogenesis;other metabolic processes","other membranes;nucleus;other cytoplasmic organelle;other cell component","other molecular function","70381","ENSMUSG00000066621","Tecpr1",NA,NA
"10","P46664",1.75021208655775,3.36408016867049,20.4335877529756,-6.34178434287452,5.62127119345755e-06,0.000119748269045493,4.32952666099809e-05,4.09360170618494,"Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 GN=Adss2 PE=1 SV=2",0,26.925,8,3,13,3,456,50,6.38,"other metabolic processes;other biological processes","plasma membrane;other membranes;cytosol;mitochondrion;other cell component","other molecular function","11566","ENSMUSG00000015961","Adss2","Purine ribonucleoside monophosphate biosynthesis","Purine metabolism; Nucleotide Metabolism"
"11","Q9DAK9",1.74935123434279,3.36207342993237,21.6426896793831,-7.40276255837294,7.2348736046957e-07,3.20545700316578e-05,1.15894047291965e-05,6.12949368849401,"14 kDa phosphohistidine phosphatase OS=Mus musculus OX=10090 GN=Phpt1 PE=1 SV=1",0,72.698,56,5,29,5,124,14,5.53,"protein metabolism;other metabolic processes;other biological processes","cytosol","other molecular function","75454","ENSMUSG00000036504","Phpt1",NA,NA
"12","Q8VCT3",1.74143099976423,3.34366659442015,21.4152927561935,-7.14908235527275,1.16492894318953e-06,4.15152810098116e-05,1.50099468997353e-05,5.65725446942737,"Aminopeptidase B OS=Mus musculus OX=10090 GN=Rnpep PE=1 SV=2",0,71.183,16,8,39,8,650,72.4,5.35,"protein metabolism;other metabolic processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cell component","other molecular function","215615","ENSMUSG00000041926","Rnpep",NA,"mRNA processing"
"13","P17183",1.72717971410378,3.3107996593924,27.4201384322706,-8.04756442873908,2.24109176869663e-07,1.56496035880221e-05,5.65815076146549e-06,7.28845842099695,"Gamma-enolase OS=Mus musculus OX=10090 GN=Eno2 PE=1 SV=2",0,628.673,66,21,523,18,434,47.3,5.11,"other metabolic processes;other biological processes","plasma membrane;other membranes;cytosol;other cell component","other molecular function","13807","ENSMUSG00000004267","Eno2","Gluconeogenesis; Glycolysis","Glycolysis and Gluconeogenesis"
"14","P54728",1.72600688358057,3.30810925783112,22.3305946412663,-8.06339234960179,2.17904183092609e-07,1.56496035880221e-05,5.65815076146549e-06,7.31616602594008,"UV excision repair protein RAD23 homolog B OS=Mus musculus OX=10090 GN=Rad23b PE=1 SV=2",0,66.377,23,9,43,9,416,43.5,4.83,"cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;developmental processes;other biological processes","cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function","19359","ENSMUSG00000028426","Rad23b","DNA Damage Recognition in GG-NER; Formation of Incision Complex in GG-NER; N-glycan trimming in the ER and Calnexin/Calreticulin cycle; Josephin domain DUBs",NA
"15","Q9D358",1.71938562809508,3.29296146229644,21.5229915560316,-8.62642671147112,8.1958507021233e-08,9.7878326112327e-06,3.53881376169366e-06,8.2790723656686,"Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus OX=10090 GN=Acp1 PE=1 SV=3",0,30.986,24,3,18,3,158,18.2,6.74,"protein metabolism;other metabolic processes","plasma membrane;other membranes;cytosol;other cell component","other molecular function","11431","ENSMUSG00000044573","Acp1",NA,NA
"16","O70250",1.71024692214192,3.27216822898081,20.4187285023311,-7.4593758275366,9.29406422739783e-07,3.55311703942959e-05,1.28463777175875e-05,5.94097046030326,"Phosphoglycerate mutase 2 OS=Mus musculus OX=10090 GN=Pgam2 PE=1 SV=3",0,106.14,34,8,88,4,253,28.8,8.5,"other metabolic processes;signal transduction;other biological processes","cytosol;nucleus","other molecular function","56012","ENSMUSG00000020475","Pgam2","Gluconeogenesis; Glycolysis","Glycolysis and Gluconeogenesis"
"17","P36916",1.70048947859602,3.25011209872008,21.6980036928837,-6.47779090441146,4.28547987205622e-06,9.80098388048773e-05,3.54356863383665e-05,4.36341973863738,"Guanine nucleotide-binding protein-like 1 OS=Mus musculus OX=10090 GN=Gnl1 PE=1 SV=4",0,73.043,15,8,31,8,607,68.7,5.68,"stress response",NA,"other molecular function","14670","ENSMUSG00000024429","Gnl1",NA,NA
"18","Q8BHE3",1.68174412477983,3.20815561907488,22.4448183135152,-11.2895943132012,1.3287003572515e-09,1.7427022255757e-06,6.3007806358723e-07,12.2786623642741,"Caytaxin OS=Mus musculus OX=10090 GN=Atcay PE=1 SV=1",0,127.532,42,13,85,13,372,42.2,4.68,"cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes","other membranes;mitochondrion;other cell component","cytoskeletal activity;other molecular function","16467","ENSMUSG00000034958","Atcay",NA,NA
