accession,symbol,mito_pathways,description,coverage_percent,abundance_raw_wt_spf_1,abundance_raw_wt_spf_2,abundance_raw_aso_spf_1,abundance_raw_aso_spf_2,abundance_raw_aso_spf_3,abundance_raw_wt_spf_3,abundance_raw_aso_spf_4,abundance_raw_wt_spf_4,abundance_raw_wt_gf_1,abundance_raw_wt_gf_2,abundance_raw_wt_gf_3,abundance_raw_wt_gf_4,abundance_raw_aso_gf_1,abundance_raw_aso_gf_2,abundance_raw_aso_gf_3,abundance_raw_aso_gf_4,abundance_norm_wt_spf_1,abundance_norm_wt_spf_2,abundance_norm_aso_spf_1,abundance_norm_aso_spf_2,abundance_norm_aso_spf_3,abundance_norm_wt_spf_3,abundance_norm_aso_spf_4,abundance_norm_wt_spf_4,abundance_norm_wt_gf_1,abundance_norm_wt_gf_2,abundance_norm_wt_gf_3,abundance_norm_wt_gf_4,abundance_norm_aso_gf_1,abundance_norm_aso_gf_2,abundance_norm_aso_gf_3,abundance_norm_aso_gf_4,abundance_scaled_wt_spf_1,abundance_scaled_wt_spf_2,abundance_scaled_aso_spf_1,abundance_scaled_aso_spf_2,abundance_scaled_aso_spf_3,abundance_scaled_wt_spf_3,abundance_scaled_aso_spf_4,abundance_scaled_wt_spf_4,abundance_scaled_wt_gf_1,abundance_scaled_wt_gf_2,abundance_scaled_wt_gf_3,abundance_scaled_wt_gf_4,abundance_scaled_aso_gf_1,abundance_scaled_aso_gf_2,abundance_scaled_aso_gf_3,abundance_scaled_aso_gf_4,exp_q-value_combined,sum_pep_score,num_peptides,num_psms,num_unique_peptides,num_aas,mw_kda,calc_pi,biological_process,cellular_component,molecular_function,entrez_gene_id,ensembl_gene_id,gene_symbol,reactome_pathways,wikipathways
Q9D0M3,Cyc1,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,"Cytochrome c1, heme protein, mitochondrial OS=Mus musculus OX=10090 GN=Cyc1 PE=1 SV=1",33,342691962.8,352078749.1,407447334,415134027.2,344167895.8,423181766.1,377545366.5,431864456.8,211334441.5,223209906.4,220831940.4,230954182.8,210974002.2,280518421.7,223052398.4,177712602.8,263433338.8,320674618.9,327430671.6,307565347.5,330603253.2,336702861,310769295.9,309991299.8,284306921.1,258025187.7,252009862.7,243845786.5,284279606.4,276259888.4,260261867,234223642.5,5.726334375,6.970606307,7.117464777,6.685645902,7.186428193,7.31901731,6.755291148,6.738379599,6.18007008,5.608775672,5.478018637,5.300553513,6.179476331,6.005149168,5.657395081,5.091393905,0,304.169,8,331,8,325,35.3,9.16,other metabolic processes;transport;other biological processes,other membranes;cytosol;mitochondrion;nucleus,other molecular function,66445,ENSMUSG00000022551,Cyc1,Respiratory electron transport,
P35486,Pdha1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus OX=10090 GN=Pdha1 PE=1 SV=1",49,866619835.6,1008138865,987380302.6,1092373416,916042315.6,1010219756,1029335999,1091651038,617063716.1,617681322.4,671327381.6,657170502.3,593293610.5,772607031.3,621363829.9,534274292.8,639238854.7,808255795.9,790452703,857197685.8,767810028.8,755021176.2,779364871.3,837096748.8,523822967.6,654986873.3,804460000.5,745754507.3,746423815.7,732956129.9,654185924.2,782888953.4,5.380836017,6.803547478,6.653688747,7.215519125,6.463092516,6.355441489,6.560356178,7.046318137,4.409315032,5.513396022,6.771596115,6.277438681,6.283072629,6.169707479,5.506653979,6.590020376,0,346.979,21,529,21,390,43.2,8.19,other metabolic processes,mitochondrion;nucleus;other cell component,other molecular function,18597,ENSMUSG00000031299,Pdha1,Glyoxylate metabolism and glycine degradation; Regulation of pyruvate dehydrogenase (PDH) complex; Signaling by Retinoic Acid,Glycolysis and Gluconeogenesis; Acetylcholine Synthesis; TCA Cycle; Amino Acid metabolism
Q9D3D9,Atp5d,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,"ATP synthase subunit delta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1d PE=1 SV=1",63,392747060.1,500844620.4,511612594.6,527436542.1,496437543.3,564531916.8,496357613.5,514014454.8,321148705.9,299365080.5,313130327.9,306412600.8,286425634.7,348579411.7,297682984.8,257909352.7,418442354.3,385692442.3,436749648.2,386411438.3,396886777,383975442.5,433471949.7,382051111.8,311393876.4,351418724,345025657.5,310276759.6,364311918,256835879.4,346034373.3,346534859.4,7.146126038,6.586825584,7.458776582,6.599104541,6.778001563,6.557502795,7.402800302,6.524639224,5.317960445,6.001501684,5.892321391,5.298882411,6.221690649,4.386223207,5.909548161,5.918095423,0,93.489,4,142,4,168,17.6,5.08,cell organization and biogenesis;other metabolic processes;transport,other membranes;mitochondrion;ER/Golgi,transporter activity;other molecular function,66043,ENSMUSG00000003072,Atp5f1d,Formation of ATP by chemiosmotic coupling; Cristae formation,Oxidative phosphorylation; Electron Transport Chain
Q9DCB8,Isca2,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,"Iron-sulfur cluster assembly 2 homolog, mitochondrial OS=Mus musculus OX=10090 GN=Isca2 PE=1 SV=2",47,7597551.422,7009623.828,9715726.609,9892210.031,6204646.125,13008967.75,6727094.406,9386388.5,13551236.06,13993456.75,13421252.25,16073565.19,10840259.38,15776360.75,17083985.94,13286060.11,9877074.895,13753904,10019741.5,11074506.53,10433984.47,14260043.14,8901067.881,8168594.503,11824998.65,12176119.15,10643861.73,13004912.64,10902068.28,11859826.87,13012083.97,12660362.69,5.409927389,7.533366178,5.488069549,6.065791425,5.714961052,7.810591576,4.8753433,4.474148834,6.476855219,6.669172926,5.829916213,7.123124389,5.971342571,6.495931528,7.127052311,6.934405539,0,57.552,6,54,6,154,16.7,5.6,cell organization and biogenesis;protein metabolism;other metabolic processes,,other molecular function,74316,ENSMUSG00000021241,Isca2,Mitochondrial iron-sulfur cluster biogenesis,
Q9D051,Pdhb,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Pdhb PE=1 SV=1",44,440681113.4,526202499.1,491071952.6,545437157.1,463194185.9,576488371.8,561301804.1,583652340.8,303139086.9,298137347.8,326813100.9,328973975.7,279250611.4,332297732.5,285989757.1,247722395.7,418458662,419079099.1,383243744.8,416685018.2,365318201.6,403905991.5,396335679.7,391833058.3,349202586,356073071.6,398112577.7,334955814.8,353360060.2,311421447.5,259044580.6,309791539,7.132630305,7.143205658,6.532391838,7.102398535,6.226850851,6.884579951,6.755543943,6.678796736,5.95216009,6.069267557,6.78583118,5.709323793,6.023024261,5.308180367,4.415416369,5.280398566,0,345.544,12,346,12,359,38.9,6.87,other metabolic processes,mitochondrion;nucleus;other cell component,other molecular function,68263,ENSMUSG00000021748,Pdhb,Glyoxylate metabolism and glycine degradation; Regulation of pyruvate dehydrogenase (PDH) complex; Signaling by Retinoic Acid,Glycolysis and Gluconeogenesis; TCA Cycle
Q9CZ13,Uqcrc1,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits","Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrc1 PE=1 SV=2",37,596110680.7,746233126.4,679977985.7,767509685.3,620874853.1,755192264.8,695930626.1,829638306,449650294.9,443987525.2,460468047.9,481317123.3,405090790.8,500013829.4,441744197,354335175.9,543811650,555267053.6,592795463.5,552492478.5,526370311.6,643490561.7,600317367,573379358,409940561.1,483139238.4,474228626.8,548423543.6,542973318.5,455407696.2,453577994.4,425634078.7,6.488431861,6.625110811,7.072877111,6.592006258,6.280332355,7.677740377,7.162623916,6.841215878,4.891162956,5.764525324,5.658209293,6.543458187,6.478429396,5.433649327,5.41181843,5.078408521,0,475.206,15,598,14,480,52.8,6.21,cell organization and biogenesis;other metabolic processes;other biological processes,other membranes;cytosol;mitochondrion,other molecular function,22273,ENSMUSG00000025651; ENSMUSG00000107235,Uqcrc1,Respiratory electron transport,Electron Transport Chain
Q8K1Z0,Coq9,Metabolism > Metals and cofactors > Coenzyme Q metabolism,"Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Mus musculus OX=10090 GN=Coq9 PE=1 SV=1",39,47018086.65,63067879.45,52452996.81,73227066.34,55912276.78,57028120.05,63947730.84,66881332.63,31636417.11,32991226.41,35206086.39,39499341.38,34981206.52,43685985.09,38677301.11,30385537.42,46996241.59,50392367.68,23559321.37,50298916.42,62339844.12,54944625.83,49286315.04,64993619.6,33373458.64,39474541.61,37331975.27,33366476.55,36054107.52,37922414.38,39036889.16,37662236.33,6.742323236,7.229549002,3.379941768,7.216142002,8.9435956,7.882639438,7.070868985,9.324319918,4.787928525,5.663221357,5.355837738,4.786926837,5.172508239,5.440545179,5.600433479,5.403218694,0,152.898,10,149,10,313,35.1,5.92,other metabolic processes,other membranes;mitochondrion,other molecular function,67914,ENSMUSG00000031782,Coq9,,
Q9DB15,Mrpl12,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome,"39S ribosomal protein L12, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl12 PE=1 SV=2",35,9031947.438,9525833.25,8537588,8830572.875,9144175.625,10646421.69,8341675.188,8693388.313,5356860.719,3803071.563,4490636.75,5540995.375,4947799,6371959.656,5163436.094,3263342.5,8785019.485,7397177.139,7948375.367,7142058.054,9439671.655,7029494.494,7733558.19,8002454.774,5344669.884,5571535.028,5051367.202,6428632.91,6446305.31,5999027.402,6071029.331,5251728.102,8.012450636,6.746657394,7.249382357,6.513973895,8.609531633,6.411309357,7.053456551,7.298705934,4.874650953,5.081565209,4.607141784,5.863288514,5.879406775,5.471463211,5.537133173,4.789882622,0,44.337,4,33,4,201,21.7,9.29,protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes,mitochondrion;translational apparatus,other molecular function,56282,ENSMUSG00000039640,Mrpl12,Mitochondrial translation elongation; Mitochondrial translation termination,
Q8BJZ4,Mrps35,Mitochondrial central dogma > Translation > Mitochondrial ribosome,"28S ribosomal protein S35, mitochondrial OS=Mus musculus OX=10090 GN=Mrps35 PE=1 SV=2",34,4126127.594,6636370.563,5177523,6354232.375,5979405.25,7541795.938,7651802.406,7398515.109,3914652.813,4433272.078,4994411.875,4490356.844,4397495.313,5581747.594,3478671.828,3641176.203,5036076.053,5299383.537,5404840.049,5549630.553,5281355.591,6501853.309,5578005.364,5637025.456,3363992.205,5038719.187,4733383.795,5301559.273,4385674.412,4697016.994,4394101.08,3925135.116,6.285058458,6.613668057,6.745278528,6.925978099,6.591169054,8.114358819,6.961390064,7.035047555,4.198286014,6.288357108,5.907296384,6.616383391,5.47335262,5.86191036,5.483869161,4.898596328,0,74.437,8,55,8,320,36,8.59,protein metabolism;other metabolic processes,mitochondrion;translational apparatus,other molecular function,232536,,Mrps35,Mitochondrial translation elongation; Mitochondrial translation termination,
P12787,Cox5a,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,"Cytochrome c oxidase subunit 5A, mitochondrial OS=Mus musculus OX=10090 GN=Cox5a PE=1 SV=2",60,413507776.9,431278269.5,485121117.3,426738879.8,349449603.8,414997548.8,362381244.4,404677776.7,233140866.1,209425433.3,210942877,200040925.9,211310485,260142768.3,167259370.2,169954861.1,375946674.2,321791692.4,340643308.8,305459320.6,336926413.2,432811284.8,303415683.7,294891913.9,223678387.7,221754883.9,225562393.6,229162866.4,284168426.5,253989010.6,224353224.3,211434360.3,8.197721471,7.016842673,7.427912411,6.660706432,7.346863483,9.437685199,6.61614382,6.430278388,4.877428762,4.835485715,4.918510535,4.997020799,6.196446919,5.538368362,4.89214394,4.610441091,0,164.443,9,183,9,146,16.1,6.54,other metabolic processes;transport,other membranes;mitochondrion,transporter activity;other molecular function,12858,ENSMUSG00000000088,Cox5a,Cytoprotection by HMOX1; Respiratory electron transport; TP53 Regulates Metabolic Genes,Arachidonate Epoxygenase   Epoxide Hydrolase; Electron Transport Chain
