Accession,log2_foldchange,foldchange,AveExpr,t,p_value,adj_p_value,q_value,B,description,exp_q-value_combined,sum_pep_score,coverage_percent,num_peptides,num_psms,num_unique_peptides,num_aas,mw_kda,calc_pi,biological_process,cellular_component,molecular_function,entrez_gene_id,ensembl_gene_id,gene_symbol,reactome_pathways,wikipathways
Q9Z268,1.1901931818182092,2.281832956546544,19.82567284700633,3.6686874450244886,0.002072829119149832,0.9997218336504108,0.9997218336504108,-3.5028731558934822,RasGAP-activating-like protein 1 OS=Mus musculus OX=10090 GN=Rasal1 PE=1 SV=2,0,117.132,22,12,25,12,799,89.3,6.37,signal transduction;other biological processes,plasma membrane;other membranes;cytosol,enzyme regulator activity;other molecular function,19415,ENSMUSG00000029602,Rasal1,Regulation of RAS by GAPs,NA
Q3UNZ8,1.1675330421083991,2.24627263609729,21.359102251679083,4.949036151639326,1.2167081992360925e-4,0.47950470131894407,0.47950470131894407,-3.1729577917246035,Quinone oxidoreductase-like protein 2 OS=Mus musculus OX=10090 GN=Cryzl2 PE=1 SV=1,0,99.255,39,8,47,8,350,37.8,8.9,NA,NA,other molecular function,226527,ENSMUSG00000033488,Cryzl2,NA,NA
E9PWC4,1.0225023281512087,2.031439400097554,19.820809581344754,3.019766891719992,0.008612157026214061,0.9997218336504108,0.9997218336504108,-4.056118819736123,Sodium- and chloride-dependent glycine transporter 1 OS=Mus musculus OX=10090 GN=Slc6a9 PE=1 SV=1,0,14.267,10,1,10,1,126,13.9,9.72,transport,plasma membrane;other membranes,transporter activity,NA,ENSMUSG00000028542,Slc6a9,NA,Oxidative Stress and Redox Pathway
Q60766,-0.9299345194046005,-1.9051895219738877,19.490821522675336,-3.0993622318831084,0.006184164388487699,0.9997218336504108,0.9997218336504108,-3.71235508109418,Immunity-related GTPase family M protein 1 OS=Mus musculus OX=10090 GN=Irgm1 PE=1 SV=1,0,20.235,8,3,4,3,409,46.5,8.28,cell organization and biogenesis;other metabolic processes;stress response;other biological processes,plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component,other molecular function,15944,ENSMUSG00000046879; ENSMUSG00000116444,Irgm1,NA,NA
P02089,-0.8793583915578225,-1.8395570148015448,20.475850344922193,-2.515233002437133,0.02160472351085218,0.9997218336504108,0.9997218336504108,-3.9927449292983836,Hemoglobin subunit beta-2 OS=Mus musculus OX=10090 GN=Hbb-b2 PE=1 SV=2,0,84.806,64,8,116,3,147,15.9,8.05,other metabolic processes;transport;developmental processes;other biological processes,cytosol;other cell component,other molecular function,15130,NA,Hbb-b2,NA,NA
Q9D0B5,-0.8718717276038994,-1.8300356175364028,20.348163636878503,-2.523148723098228,0.021251288973910255,0.9997218336504108,0.9997218336504108,-3.988937750944599,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 OS=Mus musculus OX=10090 GN=Tstd3 PE=1 SV=1,0,34.154,27,3,21,3,157,17.3,8.13,NA,NA,other molecular function,77032,ENSMUSG00000028251,Tstd3,NA,NA
P63213,0.8449067885925992,1.7961486942451619,22.028456742062012,3.8384377927994313,0.0012024459520048583,0.9997218336504108,0.9997218336504108,-3.375787267977077,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Mus musculus OX=10090 GN=Gng2 PE=1 SV=2,0,26.668,28,2,26,2,71,7.8,7.99,cell cycle OR cell proliferation;signal transduction,plasma membrane;other membranes;other cell component,other molecular function,14702,ENSMUSG00000043004,Gng2,"Vasopressin regulates renal water homeostasis via Aquaporins; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; Ca2+ pathway; G alpha (q) signalling events; G beta:gamma signalling through PLC beta; Presynaptic function of Kainate receptors; G alpha (12/13) signalling events; G alpha (i) signalling events; ADP signalling through P2Y purinoceptor 12; Adrenaline,noradrenaline inhibits insulin secretion; Extra-nuclear estrogen signaling; G alpha (s) signalling events; Glucagon-like Peptide-1 (GLP1) regulates insulin secretion; Thromboxane signalling through TP receptor; Thrombin signalling through proteinase activated receptors (PARs); G-protein activation; Glucagon-type ligand receptors; G alpha (z) signalling events; G beta:gamma signalling through CDC42; Activation of G protein gated Potassium channels; Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits; ADP signalling through P2Y purinoceptor 1; G beta:gamma signalling through PI3Kgamma; Prostacyclin signalling through prostacyclin receptor; G beta:gamma signalling through BTK",Chemokine signaling pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Myometrial Relaxation and Contraction Pathways; Calcium Regulation in the Cardiac Cell
A2ANL9,0.7805557444479412,1.7177924609083715,18.180993542053105,3.0236495390812643,0.0076536133020103075,0.9997218336504108,0.9997218336504108,-3.8515271758588225,Teneurin-1 OS=Mus musculus OX=10090 GN=Tenm1 PE=1 SV=1,0,10.137,1,2,3,2,2724,304.7,6.32,signal transduction,plasma membrane;other membranes,NA,23963,ENSMUSG00000016150,Tenm1,NA,NA
Q9CXS4,-0.7769682396186788,-1.7135261864961702,20.517125933189536,-3.8082751842589455,0.0014037747008700406,0.9997218336504108,0.9997218336504108,-3.4168320442665916,Centromere protein V OS=Mus musculus OX=10090 GN=Cenpv PE=1 SV=2,0,16.409,11,2,3,2,252,27.5,9.79,cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes,cytosol;cytoskeleton;nucleus;other cell component,other molecular function,73139,ENSMUSG00000018509,Cenpv,NA,NA
B1PL19,0.7672157633339438,1.7019819811658599,16.032443098887775,2.3338710251884525,0.03295907866120133,0.9997218336504108,0.9997218336504108,-4.143828299756809,Pannexin-1 OS=Mus musculus OX=10090 GN=Panx1 PE=1 SV=1,0.003,3.077,21,1,3,1,112,12.3,5.83,transport;other biological processes,NA,transporter activity,NA,ENSMUSG00000031934,Panx1,NA,NA
