"","Accession","log2_foldchange","foldchange","AveExpr","t","p_value","adj_p_value","q_value","B","description","exp_q.value_combined","sum_pep_score","coverage_percent","num_peptides","num_psms","num_unique_peptides","num_aas","mw_kda","calc_pi","biological_process","cellular_component","molecular_function","entrez_gene_id","ensembl_gene_id","gene_symbol","reactome_pathways","wikipathways"
"1","Q9Z268",-1.19019318181821,-2.28183295654654,19.8256728470063,3.66868744502449,0.00207282911914983,0.999721833650411,0.999721833650411,-3.50287315589348,"RasGAP-activating-like protein 1 OS=Mus musculus OX=10090 GN=Rasal1 PE=1 SV=2",0,117.132,22,12,25,12,799,89.3,6.37,"signal transduction;other biological processes","plasma membrane;other membranes;cytosol","enzyme regulator activity;other molecular function","19415","ENSMUSG00000029602","Rasal1","Regulation of RAS by GAPs",NA
"2","Q3UNZ8",-1.1675330421084,-2.24627263609729,21.3591022516791,4.94903615163933,0.000121670819923609,0.479504701318944,0.479504701318944,-3.1729577917246,"Quinone oxidoreductase-like protein 2 OS=Mus musculus OX=10090 GN=Cryzl2 PE=1 SV=1",0,99.255,39,8,47,8,350,37.8,8.9,NA,NA,"other molecular function","226527","ENSMUSG00000033488","Cryzl2",NA,NA
"3","E9PWC4",-1.02250232815121,-2.03143940009755,19.8208095813448,3.01976689171999,0.00861215702621406,0.999721833650411,0.999721833650411,-4.05611881973612,"Sodium- and chloride-dependent glycine transporter 1 OS=Mus musculus OX=10090 GN=Slc6a9 PE=1 SV=1",0,14.267,10,1,10,1,126,13.9,9.72,"transport","plasma membrane;other membranes","transporter activity",NA,"ENSMUSG00000028542","Slc6a9",NA,"Oxidative Stress and Redox Pathway"
"4","Q60766",0.9299345194046,1.90518952197389,19.4908215226753,-3.09936223188311,0.0061841643884877,0.999721833650411,0.999721833650411,-3.71235508109418,"Immunity-related GTPase family M protein 1 OS=Mus musculus OX=10090 GN=Irgm1 PE=1 SV=1",0,20.235,8,3,4,3,409,46.5,8.28,"cell organization and biogenesis;other metabolic processes;stress response;other biological processes","plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function","15944","ENSMUSG00000046879; ENSMUSG00000116444","Irgm1",NA,NA
"5","P02089",0.879358391557822,1.83955701480154,20.4758503449222,-2.51523300243713,0.0216047235108522,0.999721833650411,0.999721833650411,-3.99274492929838,"Hemoglobin subunit beta-2 OS=Mus musculus OX=10090 GN=Hbb-b2 PE=1 SV=2",0,84.806,64,8,116,3,147,15.9,8.05,"other metabolic processes;transport;developmental processes;other biological processes","cytosol;other cell component","other molecular function","15130",NA,"Hbb-b2",NA,NA
"6","Q9D0B5",0.871871727603899,1.8300356175364,20.3481636368785,-2.52314872309823,0.0212512889739103,0.999721833650411,0.999721833650411,-3.9889377509446,"Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 OS=Mus musculus OX=10090 GN=Tstd3 PE=1 SV=1",0,34.154,27,3,21,3,157,17.3,8.13,NA,NA,"other molecular function","77032","ENSMUSG00000028251","Tstd3",NA,NA
"7","P63213",-0.844906788592599,-1.79614869424516,22.028456742062,3.83843779279943,0.00120244595200486,0.999721833650411,0.999721833650411,-3.37578726797708,"Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Mus musculus OX=10090 GN=Gng2 PE=1 SV=2",0,26.668,28,2,26,2,71,7.8,7.99,"cell cycle OR cell proliferation;signal transduction","plasma membrane;other membranes;other cell component","other molecular function","14702","ENSMUSG00000043004","Gng2","Vasopressin regulates renal water homeostasis via Aquaporins; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; Ca2+ pathway; G alpha (q) signalling events; G beta:gamma signalling through PLC beta; Presynaptic function of Kainate receptors; G alpha (12/13) signalling events; G alpha (i) signalling events; ADP signalling through P2Y purinoceptor 12; Adrenaline,noradrenaline inhibits insulin secretion; Extra-nuclear estrogen signaling; G alpha (s) signalling events; Glucagon-like Peptide-1 (GLP1) regulates insulin secretion; Thromboxane signalling through TP receptor; Thrombin signalling through proteinase activated receptors (PARs); G-protein activation; Glucagon-type ligand receptors; G alpha (z) signalling events; G beta:gamma signalling through CDC42; Activation of G protein gated Potassium channels; Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits; ADP signalling through P2Y purinoceptor 1; G beta:gamma signalling through PI3Kgamma; Prostacyclin signalling through prostacyclin receptor; G beta:gamma signalling through BTK","Chemokine signaling pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Myometrial Relaxation and Contraction Pathways; Calcium Regulation in the Cardiac Cell"
"8","A2ANL9",-0.780555744447941,-1.71779246090837,18.1809935420531,3.02364953908126,0.00765361330201031,0.999721833650411,0.999721833650411,-3.85152717585882,"Teneurin-1 OS=Mus musculus OX=10090 GN=Tenm1 PE=1 SV=1",0,10.137,1,2,3,2,2724,304.7,6.32,"signal transduction","plasma membrane;other membranes",NA,"23963","ENSMUSG00000016150","Tenm1",NA,NA
"9","Q9CXS4",0.776968239618679,1.71352618649617,20.5171259331895,-3.80827518425895,0.00140377470087004,0.999721833650411,0.999721833650411,-3.41683204426659,"Centromere protein V OS=Mus musculus OX=10090 GN=Cenpv PE=1 SV=2",0,16.409,11,2,3,2,252,27.5,9.79,"cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","other molecular function","73139","ENSMUSG00000018509","Cenpv",NA,NA
"10","B1PL19",-0.767215763333944,-1.70198198116586,16.0324430988878,2.33387102518845,0.0329590786612013,0.999721833650411,0.999721833650411,-4.14382829975681,"Pannexin-1 OS=Mus musculus OX=10090 GN=Panx1 PE=1 SV=1",0.003,3.077,21,1,3,1,112,12.3,5.83,"transport;other biological processes",NA,"transporter activity",NA,"ENSMUSG00000031934","Panx1",NA,NA
