Accession,log2_foldchange,foldchange,AveExpr,t,p_value,adj_p_value,q_value,B,description,exp_q-value_combined,sum_pep_score,coverage_percent,num_peptides,num_psms,num_unique_peptides,num_aas,mw_kda,calc_pi,biological_process,cellular_component,molecular_function,entrez_gene_id,ensembl_gene_id,gene_symbol,reactome_pathways,wikipathways
Q9D819,-2.205233987831125,-4.61149325543934,21.717772307572204,-6.466616064653981,4.381679784927685e-6,9.877221895743795e-5,3.571132666474761e-5,4.3413462742084405,Inorganic pyrophosphatase OS=Mus musculus OX=10090 GN=Ppa1 PE=1 SV=1,0,68.165,51,11,54,11,289,32.6,5.6,other metabolic processes,cytosol,other molecular function,67895,ENSMUSG00000020089,Ppa1,Pyrophosphate hydrolysis; Cytosolic tRNA aminoacylation,Hypothetical Network for Drug Addiction
Q9CQI6,-2.186507846945265,-4.552022999303379,23.98089875514308,-6.08555000804401,9.434871448343427e-6,1.745672693799129e-4,6.311520433175015e-5,3.578468160957746,Coactosin-like protein OS=Mus musculus OX=10090 GN=Cotl1 PE=1 SV=3,0,42.173,51,8,72,8,142,15.9,5.4,cell organization and biogenesis;stress response,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus,cytoskeletal activity;other molecular function,72042,ENSMUSG00000031827,Cotl1,Neutrophil degranulation,NA
P49442,-1.9925726399353856,-3.979459903429883,20.353968968562977,-9.282837230001276,2.755048982386146e-8,5.170308590278001e-6,1.8693371574909255e-6,9.34724927200675,Inositol polyphosphate 1-phosphatase OS=Mus musculus OX=10090 GN=Inpp1 PE=1 SV=2,0,50.289,15,5,28,5,396,43.3,5.01,other metabolic processes,NA,other molecular function,16329,ENSMUSG00000026102,Inpp1,"Synthesis of IP2, IP, and Ins in the cytosol",NA
Q9CY64,-1.958723287761373,-3.8871783106481277,21.195411642999492,-6.576331297640888,3.5261360664980073e-6,8.654100931758628e-5,3.1289104226452764e-5,4.557316104487937,Biliverdin reductase A OS=Mus musculus OX=10090 GN=Blvra PE=1 SV=1,0,50.227,22,6,41,6,295,33.5,7.02,other metabolic processes,cytosol,other molecular function,109778,ENSMUSG00000001999,Blvra,Cytoprotection by HMOX1; Heme degradation,NA
Q8BH58,-1.8283565948173433,-3.551323030678581,21.123177108884367,-8.05837745217191,5.018441125167561e-7,2.3828525872632962e-5,8.615259233405182e-6,6.584264880645538,TIP41-like protein OS=Mus musculus OX=10090 GN=Tiprl PE=1 SV=1,0,71.152,39,7,32,7,271,31.2,5.63,stress response;signal transduction;other biological processes,cytosol,NA,226591,ENSMUSG00000040843,Tiprl,NA,NA
Q9R111,-1.8255268041055501,-3.544364074538371,24.929151885610594,-10.548641385162894,3.8735438419899236e-9,1.908204535160286e-6,6.899158105137443e-7,11.251682875328967,Guanine deaminase OS=Mus musculus OX=10090 GN=Gda PE=1 SV=1,0,193.816,57,21,171,21,454,51,5.53,other metabolic processes;other biological processes,NA,other molecular function,14544,ENSMUSG00000058624,Gda,Purine catabolism,Purine metabolism
Q8C8T8,-1.817839964846499,-3.525529530295436,20.769027852319944,-11.983690811343319,5.114874815127585e-10,1.7427022255756963e-6,6.300780635872296e-7,13.186761695332713,Pre-rRNA-processing protein TSR2 homolog OS=Mus musculus OX=10090 GN=Tsr2 PE=1 SV=1,0,29.16,23,4,23,4,191,20.9,4.23,RNA metabolism OR transcription;other metabolic processes,NA,NA,69499,NA,Tsr2,NA,NA
P11404,-1.7556668657617465,-3.3768237137258246,24.99223924029574,-7.782903840803955,3.601391583647358e-7,2.0872182692873876e-5,7.546386445693806e-6,6.8199139313504915,"Fatty acid-binding protein, heart OS=Mus musculus OX=10090 GN=Fabp3 PE=1 SV=5",0,98.445,61,9,85,9,133,14.8,6.57,other metabolic processes;transport;other biological processes,non-structural extracellular;cytosol;other cell component,transporter activity;cytoskeletal activity;other molecular function,14077,ENSMUSG00000028773,Fabp3,Triglyceride catabolism,PPAR signaling pathway
Q80VP0,-1.7502791159546263,-3.3642364716290314,21.64418750641716,-7.264101677890864,9.376406295373685e-7,3.553117039429586e-5,1.284637771758754e-5,5.872510881228264,Tectonin beta-propeller repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Tecpr1 PE=1 SV=1,0,144.461,17,14,60,13,1166,130.2,6.48,cell organization and biogenesis;other metabolic processes,other membranes;nucleus;other cytoplasmic organelle;other cell component,other molecular function,70381,ENSMUSG00000066621,Tecpr1,NA,NA
P46664,-1.7502120865577453,-3.364080168670485,20.433587752975644,-6.341784342874521,5.621271193457551e-6,1.1974826904549302e-4,4.3295266609980896e-5,4.093601706184941,Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 GN=Adss2 PE=1 SV=2,0,26.925,8,3,13,3,456,50,6.38,other metabolic processes;other biological processes,plasma membrane;other membranes;cytosol;mitochondrion;other cell component,other molecular function,11566,ENSMUSG00000015961,Adss2,Purine ribonucleoside monophosphate biosynthesis,Purine metabolism; Nucleotide Metabolism
