Accession,log2_foldchange,foldchange,AveExpr,t,p_value,adj_p_value,q_value,B,description,exp_q-value_combined,sum_pep_score,coverage_percent,num_peptides,num_psms,num_unique_peptides,num_aas,mw_kda,calc_pi,biological_process,cellular_component,molecular_function,entrez_gene_id,ensembl_gene_id,gene_symbol,reactome_pathways,wikipathways
Q640M6,-1.136008740920829,-2.197721750548272,19.872983441383244,-3.509905936083682,0.0024989723793991826,0.24627372798978944,0.20364458065406565,-1.4119587431485154,Glycerophosphodiester phosphodiesterase domain-containing protein 5 OS=Mus musculus OX=10090 GN=Gdpd5 PE=1 SV=1,0,18.489,4,2,5,2,607,68.8,8,cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes,other membranes;ER/Golgi;other cell component,other molecular function,233552,ENSMUSG00000035314,Gdpd5,NA,NA
Q8VEB6,-1.090405889221529,-2.129339351040563,24.193289593489254,-7.224043008686428,1.0110621030091882e-6,0.00398560681006222,0.003295711784249922,4.959054429085246,Zinc phosphodiesterase ELAC protein 1 OS=Mus musculus OX=10090 GN=Elac1 PE=2 SV=1,0.017,1.896,3,1,2,1,362,39.7,6.6,RNA metabolism OR transcription;other metabolic processes,cytosol;nucleus,other molecular function,114615,ENSMUSG00000036941,Elac1,NA,NA
Q9Z2X1,1.002934477704411,2.004072189958465,18.47271155159381,7.0239599597240225,2.0380042628211995e-6,0.004016906402020584,0.0033215935229600653,4.1964664876700075,Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus OX=10090 GN=Hnrnpf PE=1 SV=3,0,22.023,9,3,6,1,415,45.7,5.49,RNA metabolism OR transcription;other metabolic processes;other biological processes,cytosol;nucleus;other cell component,nucleic acid binding activity;other molecular function,98758,ENSMUSG00000042079,Hnrnpf,mRNA Splicing - Major Pathway; FGFR2 alternative splicing; Processing of Capped Intron-Containing Pre-mRNA,mRNA processing
E9Q1Y3,0.9360459111230988,1.913277201752058,17.268889398471682,2.8955223881163956,0.011736731742291697,0.379794876034702,0.3140536706694772,-2.6564688090503816,Apolipoprotein B-100 (Fragment) OS=Mus musculus OX=10090 GN=Apob PE=1 SV=1,0.009,2.036,0,1,1,1,4456,503.6,6.83,transport,NA,transporter activity,NA,ENSMUSG00000020609,Apob,NA,NA
Q91UZ1,0.917140404942927,1.888368607827537,19.56134799564084,2.999665995052678,0.007686697778793916,0.31575953347248886,0.26110262879601354,-2.3675547114105795,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase OS=Mus musculus OX=10090 GN=Plcb4 PE=1 SV=1",0,130.893,18,13,17,13,1175,134.4,6.9,other metabolic processes;signal transduction;other biological processes,ER/Golgi;nucleus;other cell component,other molecular function,18798,ENSMUSG00000039943,Plcb4,G alpha (q) signalling events; Synthesis of IP3 and IP4 in the cytosol; PLC beta mediated events,Splicing factor NOVA regulated synaptic proteins; Alzheimers Disease; Chemokine signaling pathway
Q8BGF8,-0.9080879155628985,-1.8765567439286786,18.507895024522327,-3.7232950004883203,0.0018469729577603145,0.24548094894685824,0.20298902897558635,-1.1769600982811976,Solute carrier family 35 member D3 OS=Mus musculus OX=10090 GN=Slc35d3 PE=2 SV=1,0,17.314,6,2,3,2,422,44.9,7.33,transport;other biological processes,other membranes;ER/Golgi;other cytoplasmic organelle,transporter activity,76157,ENSMUSG00000050473,Slc35d3,NA,NA
Q9R171,0.8709814649923189,1.8289066819916369,21.657667541167026,2.7843024166794605,0.012235811617401443,0.379794876034702,0.3140536706694772,-2.7607074979879678,Cerebellin-1 OS=Mus musculus OX=10090 GN=Cbln1 PE=1 SV=1,0,23.12,24,5,12,3,193,21.1,7.28,cell adhesion;cell organization and biogenesis;transport;developmental processes;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cell component,other molecular function,12404,ENSMUSG00000031654,Cbln1,NA,NA
O35668,0.8509677320649232,1.8037104137538356,20.84760514515056,3.8784621193315094,0.0010998045177915688,0.22639079707926799,0.18720331767202814,-0.7134621203201448,Huntingtin-associated protein 1 OS=Mus musculus OX=10090 GN=Hap1 PE=1 SV=1,0,20.238,8,5,7,5,628,70.1,4.74,cell organization and biogenesis;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,15114,ENSMUSG00000006930,Hap1,NA,NA
Q3TYJ1,-0.8264383437646856,-1.7733021108858422,19.875065415946093,-3.702529911072412,0.001929792485214268,0.24548094894685824,0.20298902897558635,-1.212459994876058,"Solute carrier family 18 (Vesicular monoamine), member 3 OS=Mus musculus OX=10090 GN=Slc18a3 PE=1 SV=1",0,42.253,15,5,15,5,530,56.6,6.01,transport,other membranes,transporter activity,20508,ENSMUSG00000100241,Slc18a3,NA,NA
O55042,-0.8175365334011637,-1.762394054775288,29.117859668729903,-4.3947840536198,3.489525638678749e-4,0.17194637584589537,0.14218304116294325,0.2585160297038138,Alpha-synuclein OS=Mus musculus OX=10090 GN=Snca PE=1 SV=2,0,204.779,82,9,279,6,140,14.5,4.77,cell-cell signaling;cell organization and biogenesis;other metabolic processes;stress response;transport;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;translational apparatus;nucleus;other cell component,enzyme regulator activity;cytoskeletal activity;other molecular function,20617,ENSMUSG00000025889,Snca,NA,Alzheimers Disease; Parkinsons Disease Pathway; EGFR1 Signaling Pathway
