Accession,log2_foldchange,foldchange,AveExpr,t,p_value,adj_p_value,q_value,B,description,exp_q-value_combined,sum_pep_score,coverage_percent,num_peptides,num_psms,num_unique_peptides,num_aas,mw_kda,calc_pi,biological_process,cellular_component,molecular_function,entrez_gene_id,ensembl_gene_id,gene_symbol,reactome_pathways,wikipathways
Q80VP0,2.133640165529389,4.388233108393711,21.64418750641716,8.855147139194436,5.572289654124071e-8,2.1965965816557085e-5,5.771358522619187e-6,8.650303484811115,Tectonin beta-propeller repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Tecpr1 PE=1 SV=1,0,144.461,17,14,60,13,1166,130.2,6.48,cell organization and biogenesis;other metabolic processes,other membranes;nucleus;other cytoplasmic organelle;other cell component,other molecular function,70381,ENSMUSG00000066621,Tecpr1,NA,NA
P49442,1.774369038332594,3.420883654444553,20.353968968562977,8.266287832462401,1.5247595404103074e-7,2.5044175451239298e-5,6.580130217790485e-6,7.677380767893871,Inositol polyphosphate 1-phosphatase OS=Mus musculus OX=10090 GN=Inpp1 PE=1 SV=2,0,50.289,15,5,28,5,396,43.3,5.01,other metabolic processes,NA,other molecular function,16329,ENSMUSG00000026102,Inpp1,"Synthesis of IP2, IP, and Ins in the cytosol",NA
Q8BHE3,1.718718233552707,3.291438481907441,22.444818313515242,11.537802516808037,9.396178332265612e-10,3.7039734985791044e-6,9.731854814445263e-7,12.515380589689471,Caytaxin OS=Mus musculus OX=10090 GN=Atcay PE=1 SV=1,0,127.532,42,13,85,13,372,42.2,4.68,cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes,other membranes;mitochondrion;other cell component,cytoskeletal activity;other molecular function,16467,ENSMUSG00000034958,Atcay,NA,NA
Q9CQI6,1.7061673927929455,3.2629285419522422,23.98089875514308,4.748652974395411,1.6013678209466964e-4,0.001582103245657112,4.15683295091179e-4,0.8527484498263576,Coactosin-like protein OS=Mus musculus OX=10090 GN=Cotl1 PE=1 SV=3,0,42.173,51,8,72,8,142,15.9,5.4,cell organization and biogenesis;stress response,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus,cytoskeletal activity;other molecular function,72042,ENSMUSG00000031827,Cotl1,Neutrophil degranulation,NA
Q924M7,1.6477047957374964,3.1333475366173107,20.832701529771498,6.377528746430723,5.233131702976042e-6,1.6243311159946109e-4,4.267782854685509e-5,4.220840302847135,Mannose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Mpi PE=1 SV=1,0,42.362,14,4,34,4,423,46.5,5.95,protein metabolism;other metabolic processes,cytosol,other molecular function,110119,ENSMUSG00000032306,Mpi,Synthesis of GDP-mannose,NA
Q9D819,1.6280733166279369,3.0909992767541623,21.717772307572204,4.774153274363073,1.514513179118821e-4,0.0015191376468413212,3.9913965442487964e-4,0.9075585740616035,Inorganic pyrophosphatase OS=Mus musculus OX=10090 GN=Ppa1 PE=1 SV=1,0,68.165,51,11,54,11,289,32.6,5.6,other metabolic processes,cytosol,other molecular function,67895,ENSMUSG00000020089,Ppa1,Pyrophosphate hydrolysis; Cytosolic tRNA aminoacylation,Hypothetical Network for Drug Addiction
Q61481,1.6164480693424395,3.0661920643537104,21.91967257645026,6.605183328002116,3.3312479906162404e-6,1.2047504200925889e-4,3.165372587163672e-5,4.664807511448926,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A OS=Mus musculus OX=10090 GN=Pde1a PE=1 SV=3",0,116.334,29,13,56,12,545,62.3,5.91,other metabolic processes;signal transduction;other biological processes,nucleus;other cell component,other molecular function,18573,ENSMUSG00000059173,Pde1a,G alpha (s) signalling events; cGMP effects; Cam-PDE 1 activation,Purine metabolism; G Protein Signaling Pathways
P63046,1.608175909658403,3.048661365211868,21.215080983924807,8.573080845008134,1.3973592287627666e-7,2.5038136726285573e-5,6.578543597515352e-6,7.792292681186174,Sulfotransferase 4A1 OS=Mus musculus OX=10090 GN=Sult4a1 PE=1 SV=1,0,77.134,37,8,45,8,284,33,5.53,other metabolic processes,other cell component,other molecular function,29859,ENSMUSG00000018865,Sult4a1,Cytosolic sulfonation of small molecules,Metapathway biotransformation
O88533,1.6073817556200254,3.046983643711165,22.914080151422482,10.100483585832677,7.603628172260092e-9,9.118484767421304e-6,2.395799265797032e-6,10.55429915576314,Aromatic-L-amino-acid decarboxylase OS=Mus musculus OX=10090 GN=Ddc PE=1 SV=1,0,189.284,33,12,102,12,480,53.8,6.6,other metabolic processes;transport;developmental processes;other biological processes,ER/Golgi;other cell component,other molecular function,13195,ENSMUSG00000020182,Ddc,Serotonin and melatonin biosynthesis; Catecholamine biosynthesis,SIDS Susceptibility Pathways; Dopaminergic Neurogenesis; Parkinsons Disease Pathway; Biogenic Amine Synthesis; Tryptophan metabolism
O35621,1.606608747517516,3.0453514816225242,20.768882190117132,7.804968757565225,7.587839151382307e-7,5.341296774062331e-5,1.4033773391191915e-5,6.183842580383281,Phosphomannomutase 1 OS=Mus musculus OX=10090 GN=Pmm1 PE=1 SV=1,0,43.888,29,6,16,4,262,29.8,5.47,protein metabolism;other metabolic processes;transport;other biological processes,cytosol;other cell component,other molecular function,29858,ENSMUSG00000022474,Pmm1,Synthesis of GDP-mannose,NA
Q9QUH0,1.5966262151115487,3.024352319834854,20.321145873507547,7.6792296065035615,9.344152760620857e-7,5.7554140909949085e-5,1.5121829125413952e-5,5.981553371532863,Glutaredoxin-1 OS=Mus musculus OX=10090 GN=Glrx PE=1 SV=3,0,10.66,11,2,10,2,107,11.9,8.37,other metabolic processes;other biological processes,cytosol;mitochondrion;nucleus;other cell component,other molecular function,93692,ENSMUSG00000021591,Glrx,Interconversion of nucleotide di- and triphosphates,NA
